,route,rides,ridership_score,log_ridership
0,1,1100.6008583690987,0.0652066556160446,7.004519726616301
1,10,414.47058823529414,0.02053725738110984,6.029411825352706
2,100,364.0600858369099,0.01725536339555892,5.900061958765575
3,1001,1004.4610778443114,0.058947631157550064,6.9132014992086965
4,103,1142.1167664670659,0.06790948146797998,7.041513816465995
5,106,557.4880239520958,0.02984817553857162,6.325233175042275
6,108,573.9399141630902,0.0309192491634228,6.354265538229478
7,11,898.1646706586827,0.05202737599581282,6.801466188619658
8,111,1718.3832335329341,0.10542637501908983,7.4497209203451975
9,111A,277.3053892215569,0.011607339601030196,5.6287190331361465
10,112,893.7005988023952,0.05173674983897677,6.796489135830621
11,115,1541.002994011976,0.09387832226137574,7.340837495763398
12,119,2180.8413173652693,0.1355339583933708,7.687924440267907
13,12,6869.700598802395,0.44079453590620926,8.835021359464063
14,120,731.6523605150214,0.04118686215086081,6.596671319965176
15,121,941.5708154506437,0.054853262641474484,6.848611052256268
16,124,1020.9730538922156,0.06002261657334537,6.929490404361475
17,125,564.9742489270386,0.030335554071830067,6.338548580572843
18,126,2989.3383233532936,0.1881698444696236,8.003141811606746
19,128,211.875,0.007347600248276475,5.360705138982852
20,130,524.2410714285714,0.027683686625873366,6.263857340872532
21,134,1727.5965665236051,0.10602619411809429,7.455065125040738
22,135,1646.7381974248926,0.10076204116184392,7.4071588370638395
23,136,1085.8669527896996,0.06424742859381491,6.9910544810923625
24,143,900.7682403433477,0.0521968771767679,6.804357547295564
25,146,9660.188622754491,0.622464732132101,9.175871965470844
26,147,8125.146706586826,0.5225283182390966,9.002842130357974
27,148,1451.412017167382,0.08804564704337733,7.280980913512686
28,15,4064.87125748503,0.25819067147693414,8.310383330500832
29,151,11262.874251497005,0.7268049802044458,9.329355914583466
30,152,6189.754491017964,0.3965277475294284,8.730812246945158
31,155,4243.167664670658,0.26979836984430067,8.353301005237842
32,156,3965.5751072961375,0.2517261566915443,8.285658307970863
33,157,5299.403433476395,0.3385628862058437,8.575538216167118
34,165,155.59656652360516,0.0036836841285210866,5.053672858179723
35,169,99.01449275362319,0.0,4.605315103023343
36,171,602.7580071174377,0.03279540435811794,6.403173467185154
37,172,1000.4790419161677,0.058688387167884104,6.9092332281931155
38,18,2650.4281437125746,0.1661056469852417,7.8828536959695645
39,19,127.65441176470588,0.0018645554691426834,4.857129830908568
40,192,462.80257510729615,0.02368383298496721,6.139458976999412
41,2,1918.266094420601,0.11843942443839041,7.559698149459275
42,20,9947.98502994012,0.6412012503746954,9.205225817908373
43,201,1139.9893238434163,0.06777097776698564,7.039650992976421
44,206,373.38197424892707,0.017862249819177594,5.925276597741743
45,21,6274.413173652694,0.40203931373378526,8.74439460623914
46,22,12458.81736526946,0.8046649166346105,9.43026413455099
47,24,1807.9356223175967,0.11125653802404178,7.500493897320144
48,26,2696.283261802575,0.16909097006488477,7.900000346101665
49,28,3028.320359281437,0.19070770668424822,8.016093569476027
50,29,7486.254491017964,0.4809342769196839,8.920957452706556
51,3,11758.565868263473,0.7590761788308262,9.372422304807216
52,30,1783.7095808383233,0.10967934089166242,7.487010981166226
53,31,573.3991416309013,0.030884043044925584,6.353324523357726
54,34,2787.505988023952,0.17502987767912612,7.933261243226963
55,35,2877.7215568862275,0.18090321594725745,7.965101570716558
56,36,10242.422155688622,0.6603701018271237,9.23439103765429
57,37,1487.0772532188842,0.09036757438236039,7.30524013153118
58,39,1046.9520958083833,0.06171393995554953,6.9545931537297445
59,4,10538.523952095808,0.6796473289624501,9.262887655240034
60,43,672.4670658682635,0.037333699549956446,6.512439094681893
61,44,1991.2095808383233,0.12318829179677467,7.596999643874446
62,47,6838.763473053892,0.43878042451882704,8.830508430055815
63,48,695.793991416309,0.038852361198128765,6.546489802390191
64,49,11852.787425149701,0.7652103204509674,9.380402709434307
65,49B,3427.6377245508984,0.2167046159998334,8.13991829641517
66,5,108.86915887850468,0.0006415720523725144,4.6992901930769015
67,50,7096.047904191617,0.4555305100556427,8.867434188423523
68,51,844.8532934131737,0.048556625258976686,6.740345932527451
69,52,5319.395209580838,0.3398644183595831,8.579302867091704
70,52A,2458.0269461077846,0.15357967911763734,7.807521000313039
71,53,12793.41017964072,0.8264480390565124,9.456763649808865
72,53A,3883.5898203592815,0.24638863757746463,8.26477267688265
73,54,6968.137724550898,0.44720312529886896,8.849246783698531
74,54A,527.4892703862661,0.0278951553499675,6.270022503091462
75,54B,1790.7215568862275,0.11013584421782609,7.490932200260084
76,55,6130.979041916167,0.3927012672579002,8.721272822163973
