,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
41,81W,26229.0,1.6,0.7,3.95,6.5,20.29,54.37,74.66,25.34,1.35,1150,1260.0,6386.0,7656.0,6626.0,4301.0,-0.8,1.06,1.6,2.99,0.97,-0.3,0.4,0.7,2.0,0.5,2.83,3.49,3.72,4.73,3.18,1.8,4.7,7.1,9.2,4.5,31.11,19.51,22.02,15.64,22.37,65.08,63.03,51.59,44.19,59.01,96.19,82.54,73.62,59.82,81.38,3.81,17.46,26.38,40.18,18.62,0.0,0.85,0.65,3.32,0.67,81,6.58
42,67,76921.0,1.46,0.4,5.95,7.4,30.42,44.25,74.68,25.32,2.58,2709,4594.0,16124.0,22051.0,17046.0,17106.0,5.79,1.01,0.46,1.84,1.64,0.2,0.1,-0.1,0.8,0.8,14.31,4.36,4.17,4.82,5.83,32.5,6.6,5.4,8.5,8.0,30.93,32.81,35.6,27.99,23.8,39.18,44.31,44.93,40.47,48.46,70.11,77.11,80.53,68.46,72.26,29.89,22.89,19.47,31.54,27.74,18.87,1.22,0.71,1.97,2.48,445,14.11
43,93,58401.0,0.96,0.3,5.07,6.9,31.44,43.39,74.83,25.17,1.58,1411,2177.0,14578.0,17686.0,15297.0,8663.0,0.85,1.67,0.26,1.62,0.05,0.4,0.9,-0.2,0.6,-0.1,3.74,5.23,4.63,5.62,4.6,4.1,8.2,5.4,8.6,5.1,18.05,25.03,36.88,30.7,35.83,66.88,43.68,43.97,38.2,44.96,84.93,68.71,80.84,68.9,80.79,15.07,31.29,19.16,31.1,19.21,1.38,1.89,0.98,2.6,0.53,222,13.59
44,91,58560.0,1.59,0.4,4.72,7.4,26.56,48.34,74.89,25.11,1.95,1896,2763.0,14934.0,15777.0,15682.0,9404.0,-0.26,1.72,0.98,2.83,0.88,-0.5,0.7,0.1,1.3,-0.3,2.35,3.89,3.79,5.49,5.81,2.18,6.8,5.4,10.2,6.5,35.14,21.09,28.67,22.28,36.29,58.81,52.39,51.44,40.81,46.16,93.96,73.48,80.11,63.09,82.45,6.04,26.52,19.89,36.91,17.55,0.0,0.96,1.0,3.92,2.36,132,6.51
45,97,39633.0,1.23,0.5,5.07,6.5,26.9,48.17,75.07,24.93,1.92,1360,1065.0,8799.0,11732.0,9892.0,8145.0,0.99,0.65,0.85,1.84,1.68,0.3,0.3,0.3,1.2,0.6,4.86,3.9,3.97,5.26,6.92,6.46,4.9,5.19,8.1,8.6,23.38,28.06,27.8,24.26,28.03,56.81,52.57,51.83,42.4,44.01,80.19,80.63,79.63,66.66,72.04,19.81,19.37,20.37,33.34,27.96,2.35,0.75,1.02,1.85,4.49,126,8.48
46,66,201405.0,1.05,-0.4,6.24,8.1,41.28,34.03,75.31,24.69,2.93,4727,13851.0,43800.0,54202.0,53130.0,36422.0,4.23,1.47,-0.1,1.58,0.27,-0.2,-0.2,-0.9,0.5,-0.6,12.74,6.0,4.71,5.63,4.93,24.7,9.2,5.7,9.1,6.4,38.38,39.05,48.57,35.54,42.58,33.14,35.4,33.25,31.78,37.19,71.52,74.45,81.82,67.33,79.77,28.48,25.55,18.18,32.67,20.23,13.52,4.55,0.89,2.22,1.03,1007,17.56
47,21,96119.0,0.88,0.1,5.09,7.0,34.14,41.37,75.51,24.49,1.78,2129,4571.0,19266.0,28369.0,26007.0,17906.0,0.32,0.02,0.71,1.54,1.27,-0.6,-0.4,-0.0,0.8,0.2,4.88,4.02,5.37,5.38,5.12,5.1,4.6,7.1,8.1,7.7,39.66,38.0,36.35,29.52,31.77,44.59,45.42,39.42,39.16,42.51,84.25,83.43,75.77,68.68,74.27,15.75,16.57,24.23,31.32,25.73,3.81,0.33,1.66,2.06,2.61,229,9.71
48,146,107562.0,0.76,-0.1,5.32,7.2,37.88,37.76,75.64,24.36,1.91,2739,1109.0,22936.0,31302.0,28677.0,23538.0,2.21,1.23,0.7,0.37,0.76,0.4,0.2,0.0,-0.5,0.0,5.34,5.25,4.56,5.88,5.58,9.52,7.8,6.1,7.7,7.4,30.21,34.47,35.81,43.81,37.1,39.4,39.26,41.47,31.48,38.94,69.61,73.73,77.28,75.28,76.04,30.39,26.27,22.72,24.72,23.96,4.24,2.08,1.24,2.06,2.34,442,13.9
49,81,94896.0,1.48,0.1,5.97,7.5,33.03,42.63,75.65,24.35,2.66,3229,7810.0,19702.0,26641.0,22283.0,18460.0,4.92,0.9,0.62,2.1,1.14,-0.4,0.1,-0.2,1.0,0.1,12.82,3.73,4.1,4.85,6.26,25.4,5.8,5.7,8.8,7.4,39.1,32.58,37.14,26.46,32.93,34.89,45.66,43.15,41.09,43.78,73.99,78.24,80.29,67.54,76.7,26.01,21.76,19.71,32.46,23.3,15.79,0.41,0.88,1.8,3.13,550,14.55
50,7,48630.0,1.14,0.3,4.58,6.8,30.66,44.99,75.66,24.34,1.38,1300,372.0,13652.0,14940.0,13004.0,6662.0,-1.48,0.34,1.61,1.33,1.45,-1.6,-0.1,0.7,0.4,0.5,1.92,4.28,4.36,4.91,4.81,0.57,5.1,7.1,7.9,7.3,70.16,36.13,25.87,31.11,27.14,26.88,44.35,46.96,42.23,48.3,97.04,80.48,72.83,73.34,75.44,2.96,19.52,27.17,26.66,24.56,0.0,0.77,1.21,1.77,2.36,46,3.42
51,74,106593.0,1.17,-0.1,5.44,7.3,36.21,39.56,75.76,24.24,2.44,2940,5977.0,25885.0,29241.0,28272.0,17218.0,4.77,0.61,0.27,1.87,1.11,-0.2,-0.1,-0.4,0.6,-0.1,11.54,3.87,3.89,5.77,5.19,25.4,5.6,5.2,9.8,7.8,36.46,35.04,39.85,33.11,36.77,36.99,44.94,41.36,33.73,38.86,73.45,79.98,81.2,66.84,75.63,26.55,20.02,18.8,33.16,24.37,17.43,0.5,0.44,3.15,2.38,381,11.47
52,9,220574.0,0.34,-0.1,6.17,6.6,39.12,36.77,75.89,24.11,1.61,3447,18193.0,44124.0,62977.0,54679.0,40601.0,3.02,0.06,-0.14,0.16,0.43,0.5,-0.2,-0.2,-0.1,0.2,11.87,4.99,5.09,5.49,5.7,17.6,6.3,6.0,6.7,6.6,31.82,40.09,41.54,40.8,35.33,39.16,37.81,35.14,34.66,39.93,70.98,77.89,76.69,75.46,75.25,29.02,22.11,23.31,24.54,24.75,11.27,0.64,0.46,0.98,0.95,1109,24.34
53,29,103202.0,0.88,-0.1,5.12,6.8,37.39,38.61,75.99,24.01,1.52,2084,4785.0,20213.0,30882.0,27922.0,19400.0,4.04,0.87,0.64,0.81,0.61,0.4,0.1,-0.2,-0.1,-0.3,10.75,4.1,4.4,5.1,4.76,19.5,6.1,6.2,7.3,7.0,29.09,33.91,38.58,38.49,39.57,45.41,43.32,37.81,35.71,37.47,74.5,77.23,76.38,74.2,77.04,25.5,22.77,23.62,25.8,22.96,13.04,0.75,0.8,1.1,1.22,248,10.63
54,J14,102806.0,0.92,0.3,4.47,6.1,31.99,44.28,76.27,23.73,1.06,2635,4398.0,25971.0,28239.0,25877.0,18321.0,1.12,0.56,0.49,1.42,1.34,0.2,-0.1,-0.1,0.9,0.8,4.18,4.32,4.29,4.73,4.53,5.1,5.7,5.2,7.1,6.3,24.9,36.39,36.42,28.89,25.03,57.59,43.19,43.43,41.18,48.32,82.49,79.58,79.85,70.06,73.35,17.51,20.42,20.15,29.94,26.65,1.75,0.98,1.01,1.02,1.15,672,20.32
55,15,77192.0,1.22,0.0,5.78,7.1,34.75,41.54,76.29,23.71,3.11,1951,4258.0,16311.0,21390.0,20257.0,14976.0,6.24,0.6,0.89,1.61,0.42,0.1,-0.2,0.1,0.5,-0.3,12.87,4.76,4.38,5.5,4.87,28.8,6.0,6.0,8.5,5.1,33.75,37.07,33.67,31.65,38.22,32.71,42.54,42.98,38.69,44.79,66.46,79.61,76.65,70.34,83.01,33.54,20.39,23.35,29.66,16.99,21.61,1.77,1.23,3.22,1.86,224,10.3
56,111,40910.0,1.18,0.8,4.24,5.8,23.52,52.79,76.32,23.68,1.03,1803,1848.0,9354.0,11825.0,9772.0,8111.0,-0.54,0.91,1.4,1.33,1.37,-0.2,0.6,0.9,0.9,1.0,4.13,3.53,4.28,4.71,4.23,2.5,5.07,6.2,6.6,6.0,31.17,22.38,22.99,25.45,21.56,60.88,56.59,51.99,48.11,53.4,92.05,78.96,74.99,73.56,74.96,7.95,21.04,25.01,26.44,25.04,1.14,0.25,1.22,1.3,1.31,130,6.73
57,55,115970.0,1.4,0.3,5.61,7.0,29.62,46.71,76.33,23.67,2.65,3494,7845.0,25325.0,33341.0,27405.0,22054.0,4.64,0.51,0.56,3.13,0.4,-0.1,-0.2,0.2,1.8,-0.1,12.34,4.13,3.51,5.98,4.24,24.7,5.5,4.7,11.1,5.1,32.7,35.48,29.09,20.65,33.76,44.58,44.86,52.39,39.58,49.84,77.27,80.34,81.48,60.23,83.59,22.73,19.66,18.52,39.77,16.41,16.01,0.77,0.24,4.79,1.07,526,13.08
58,77,177777.0,1.03,-0.2,6.5,7.8,38.63,37.75,76.38,23.62,3.13,3991,11441.0,42525.0,45134.0,47961.0,30716.0,3.02,0.64,-0.06,2.56,0.05,-0.8,-0.3,-0.6,1.3,-0.9,12.02,4.68,4.66,6.77,7.0,18.5,6.5,5.1,11.1,4.7,43.6,37.56,44.0,27.55,47.65,36.22,41.74,38.06,34.12,38.01,79.82,79.3,82.06,61.67,85.67,20.18,20.7,17.94,38.33,14.33,12.7,1.44,1.02,4.9,2.22,691,14.76
59,82,166726.0,0.98,0.3,5.06,6.2,32.34,44.2,76.54,23.46,1.52,3346,11004.0,35970.0,45643.0,41896.0,32213.0,2.92,0.87,0.77,1.24,0.38,0.0,0.2,0.4,0.7,0.0,11.0,4.18,3.65,5.01,4.25,19.3,6.3,5.5,7.4,5.0,34.5,32.75,30.94,30.66,35.32,44.53,44.42,46.87,40.21,45.27,79.03,77.16,77.81,70.87,80.59,20.97,22.84,22.19,29.13,19.41,12.41,0.7,0.19,1.42,0.74,729,17.89
60,95,98435.0,1.17,0.4,4.43,6.0,27.29,49.36,76.66,23.34,1.1,3206,4058.0,21031.0,29862.0,24017.0,19467.0,2.84,0.43,1.67,1.56,0.37,-0.2,0.1,0.9,0.8,0.0,9.85,3.43,4.38,4.05,3.76,14.86,4.5,7.0,7.0,4.4,34.82,30.51,23.78,24.42,31.18,44.33,52.69,47.57,46.63,52.95,79.15,83.2,71.35,71.05,84.13,20.85,16.8,28.65,28.95,15.87,9.93,0.24,1.34,0.62,0.43,344,9.69
61,35,58787.0,0.92,-0.0,4.65,6.5,33.84,43.08,76.92,23.08,1.44,1865,4739.0,14588.0,15145.0,15537.0,8778.0,-0.46,0.73,1.05,1.52,0.68,-1.0,-0.1,0.4,0.4,0.1,3.34,3.98,4.28,5.89,4.21,2.6,6.03,6.5,8.2,5.4,47.52,35.1,31.19,33.51,29.49,43.74,43.75,43.19,37.7,50.98,91.26,78.85,74.38,71.2,80.47,8.74,21.15,25.62,28.8,19.53,0.74,0.62,0.55,3.53,0.99,255,12.03
62,37,23995.0,0.67,-0.0,4.44,5.8,35.65,41.52,77.17,22.83,0.89,866,,8808.0,5990.0,8430.0,767.0,,-0.09,0.92,1.33,0.34,,-0.7,0.4,0.5,0.4,,4.49,3.65,4.84,3.26,,4.9,5.1,7.3,4.0,,44.81,28.61,31.61,29.86,,36.68,50.17,39.31,53.85,,81.49,78.78,70.93,83.7,,18.51,21.22,29.07,16.3,,0.44,0.67,1.6,0.0,32,3.56
63,111A,13220.0,0.82,0.1,3.52,5.8,31.05,46.91,77.96,22.04,0.29,1112,,3718.0,4804.0,3794.0,904.0,,1.5,0.6,0.56,0.27,,0.7,0.0,0.0,-0.4,,3.77,3.49,3.18,3.56,,7.1,5.2,5.1,5.37,,26.12,33.22,32.0,35.84,,45.29,46.63,48.84,46.9,,71.41,79.85,80.84,82.74,,28.59,20.15,19.16,17.26,,0.46,0.25,0.18,0.22,531,32.32
64,24,34561.0,0.75,0.1,4.31,5.9,31.91,46.08,77.99,22.01,1.02,963,97.0,8879.0,11661.0,10914.0,3010.0,0.98,0.83,0.14,1.16,1.39,0.7,0.4,-0.5,0.5,0.6,1.68,3.58,4.83,4.16,4.45,4.0,5.3,5.3,6.7,6.1,3.09,28.2,41.06,27.41,24.65,84.54,49.41,41.37,46.54,51.66,87.63,77.61,82.43,73.94,76.31,12.37,22.39,17.57,26.06,23.69,0.0,0.26,1.93,0.63,1.16,40,3.99
65,54,106167.0,0.96,-0.1,5.55,6.6,36.66,41.34,78.0,22.0,2.04,3227,8576.0,21146.0,30702.0,25271.0,20472.0,4.87,0.3,-0.25,1.96,0.59,-0.1,-0.3,-0.7,1.1,-0.2,12.35,3.83,3.67,4.97,4.41,26.0,5.1,4.2,8.6,6.0,33.31,38.57,45.01,26.21,36.47,39.73,42.79,40.63,39.99,43.26,73.04,81.36,85.64,66.2,79.73,26.96,18.64,14.36,33.8,20.27,17.07,0.24,0.19,1.53,1.03,448,12.19
66,52,82671.0,0.72,0.1,4.94,6.3,33.16,44.92,78.08,21.92,1.57,2366,3774.0,19388.0,23194.0,20881.0,15434.0,0.08,1.35,0.59,1.49,-0.74,0.1,0.8,0.3,0.5,-0.9,2.63,5.13,4.63,5.71,3.99,3.0,7.4,5.9,9.1,2.8,27.19,26.89,32.07,31.94,45.79,62.85,46.66,44.94,39.84,45.21,90.04,73.55,77.01,71.78,91.0,9.96,26.45,22.99,28.22,9.0,0.03,1.6,0.91,3.2,0.71,218,8.44
67,57,22726.0,0.9,-0.1,4.05,5.9,32.54,45.95,78.49,21.51,0.94,1486,189.0,6080.0,7883.0,6522.0,2052.0,0.4,1.51,0.26,1.33,0.26,0.1,0.0,-0.5,0.6,-0.8,1.64,4.58,3.4,3.64,5.37,3.02,7.8,4.5,6.1,5.8,17.99,29.69,38.77,24.59,43.71,71.96,44.41,45.46,49.1,39.96,89.95,74.1,84.23,73.69,83.67,10.05,25.9,15.77,26.31,16.33,0.0,1.81,0.48,0.51,1.61,101,6.36
68,63,137446.0,1.01,-0.1,5.69,6.2,34.29,44.21,78.49,21.51,2.18,3715,11371.0,28894.0,41056.0,33677.0,22448.0,5.09,0.8,0.36,1.21,0.1,0.1,0.1,-0.4,0.5,-0.4,12.69,4.04,4.16,4.56,4.74,28.2,5.8,5.3,7.0,4.6,28.3,32.19,39.37,29.68,37.62,44.63,46.39,42.36,42.74,46.77,72.93,78.58,81.73,72.42,84.38,27.07,21.42,18.27,27.58,15.62,16.1,0.75,0.97,0.95,1.06,795,17.63
69,18,48507.0,0.79,0.0,4.56,6.24,34.79,43.92,78.71,21.29,1.68,1602,339.0,10586.0,14415.0,13486.0,9681.0,1.39,2.02,0.67,0.52,-0.04,0.7,0.7,-0.1,-0.3,-0.4,3.06,5.14,4.37,4.79,3.44,5.3,9.1,5.6,6.4,3.9,16.22,26.76,34.96,39.54,37.34,62.83,42.44,45.02,39.63,49.24,79.06,69.2,79.97,79.16,86.58,20.94,30.8,20.03,20.84,13.42,0.0,2.93,1.52,1.82,0.43,234,12.75
70,8,184560.0,0.24,-0.2,6.33,6.2,39.81,38.92,78.72,21.28,2.13,2909,10283.0,43598.0,52988.0,48543.0,29148.0,5.15,0.23,-0.42,0.53,-0.73,0.3,-0.1,-0.5,0.3,-0.7,14.03,4.45,4.67,6.81,5.23,26.1,5.0,4.8,8.1,4.9,34.52,36.62,42.18,37.5,45.95,33.78,44.9,40.79,33.84,36.84,68.31,81.52,82.97,71.34,82.79,31.69,18.48,17.03,28.66,17.21,22.24,0.98,0.24,1.92,0.55,471,13.93
71,94,116016.0,-0.09,-0.2,5.0,5.6,40.16,38.58,78.74,21.26,0.7,1849,5665.0,28435.0,33066.0,29337.0,19513.0,-0.45,-0.79,-0.57,0.84,0.44,-0.5,-0.6,-0.6,0.5,0.2,4.07,4.61,4.91,5.66,4.59,4.0,4.5,5.1,7.4,5.4,40.21,44.87,44.7,34.73,33.76,47.17,38.36,36.03,36.49,43.9,87.38,83.22,80.73,71.22,77.66,12.62,16.78,19.27,28.78,22.34,0.51,0.11,0.42,1.74,0.53,337,15.42
72,106,24650.0,1.09,0.5,4.15,5.8,23.43,55.31,78.74,21.26,0.88,1621,655.0,5331.0,8239.0,6796.0,3629.0,0.18,1.21,1.01,0.9,1.63,-0.1,0.7,0.2,0.3,1.0,1.86,3.33,4.06,4.96,3.98,2.8,5.3,6.32,6.3,5.3,22.44,18.98,26.45,28.62,13.56,69.77,59.67,51.88,49.37,65.25,92.21,78.65,78.32,77.99,78.81,7.79,21.35,21.68,22.01,21.19,0.0,0.39,0.53,1.1,2.12,197,10.84
73,71,84895.0,0.62,-0.3,5.3,6.2,38.27,40.64,78.91,21.09,1.98,2499,3715.0,18474.0,24904.0,20922.0,16880.0,3.31,0.47,-0.22,1.26,0.62,0.0,-0.0,-0.7,0.3,-0.5,10.85,4.03,4.07,5.42,5.8,16.5,5.2,5.0,7.6,7.3,30.12,33.48,44.62,33.17,42.26,50.55,47.2,37.98,39.56,36.57,80.67,80.69,82.6,72.72,78.83,19.33,19.31,17.4,27.28,21.17,11.22,0.6,0.25,2.48,3.39,324,11.48
74,147,97862.0,0.48,-0.1,5.01,6.2,37.76,41.18,78.93,21.07,1.62,2702,3415.0,21912.0,26007.0,27991.0,18537.0,0.35,1.16,0.31,0.41,0.04,0.0,0.4,-0.1,-0.2,-0.8,4.99,4.7,4.65,5.22,5.46,5.36,7.0,5.5,6.6,5.5,30.07,29.85,36.96,40.38,45.68,51.63,45.15,42.65,37.04,38.73,81.7,75.0,79.61,77.43,84.4,18.3,25.0,20.39,22.57,15.6,2.02,1.59,0.83,1.52,2.85,344,11.29
75,96,11258.0,1.22,0.3,4.46,6.2,26.19,52.81,78.99,21.01,1.23,635,307.0,3647.0,3646.0,3470.0,188.0,-0.35,0.28,0.53,3.03,1.96,-0.9,-0.2,0.2,1.7,1.1,2.55,3.98,2.71,5.83,3.5,2.14,3.7,3.75,10.7,7.43,42.35,34.17,24.08,18.99,18.62,50.16,52.62,61.71,44.18,47.34,92.51,86.78,85.79,63.17,65.96,7.49,13.22,14.21,36.83,34.04,0.0,0.88,0.05,3.0,0.0,28,4.22
76,56,90281.0,0.43,-0.2,4.4,5.9,37.36,41.68,79.04,20.96,0.69,2006,2875.0,24543.0,23547.0,25478.0,13838.0,-0.27,0.53,-0.03,0.67,0.75,-0.4,-0.1,-0.5,0.0,-0.2,2.87,4.12,3.97,4.64,5.24,2.8,5.8,4.7,6.7,6.8,34.33,34.71,40.74,37.04,37.52,56.28,44.25,43.16,37.97,38.37,90.61,78.96,83.9,75.01,75.89,9.39,21.04,16.1,24.99,24.11,0.0,0.29,0.56,0.66,1.81,224,10.04
77,34,61008.0,1.3,0.4,5.1,5.3,26.59,52.56,79.15,20.85,1.9,2912,4866.0,12377.0,17431.0,14062.0,12272.0,6.02,0.93,0.63,0.8,1.36,0.8,0.5,0.2,0.4,0.7,12.24,3.01,3.21,3.4,4.81,27.75,4.9,4.6,4.7,5.3,23.82,24.96,29.54,27.46,24.12,42.01,54.1,52.64,53.11,54.47,65.82,79.06,82.18,80.58,78.59,34.18,20.94,17.82,19.42,21.41,17.55,0.11,0.33,0.36,1.5,430,12.87
78,85,73638.0,0.98,0.0,4.73,5.8,32.45,47.04,79.49,20.51,1.64,2245,7031.0,15926.0,18318.0,19616.0,12747.0,2.36,0.73,0.44,1.47,0.55,-0.5,-0.1,0.0,0.6,-0.3,9.08,3.68,3.35,4.69,3.84,6.8,5.6,4.5,7.5,5.4,34.35,33.5,32.36,28.83,35.79,49.92,46.6,50.97,43.28,46.14,84.27,80.11,83.32,72.11,81.93,15.73,19.89,16.68,27.89,18.07,8.87,0.58,0.2,1.62,1.04,262,10.45
79,20,136156.0,0.73,-0.1,5.51,5.9,35.99,43.63,79.63,20.37,1.89,3865,9824.0,31329.0,34021.0,38437.0,22545.0,4.92,0.7,-0.19,0.56,0.62,0.2,0.1,-0.5,-0.1,-0.2,11.93,3.61,4.02,4.51,5.9,25.77,5.3,4.2,6.2,6.7,27.42,30.6,41.0,37.26,37.51,44.78,49.5,44.85,39.8,39.69,72.2,80.1,85.84,77.06,77.2,27.8,19.9,14.16,22.94,22.8,15.67,0.37,0.38,0.75,2.22,743,16.12
80,124,17282.0,0.12,0.0,4.3,4.7,37.69,42.15,79.83,20.17,0.56,1029,,1905.0,5459.0,5765.0,4153.0,,0.24,0.3,-0.41,0.57,,-0.3,0.3,-0.4,0.3,,4.74,3.38,4.71,4.48,,5.5,4.4,4.8,4.6,,41.57,34.64,43.97,31.18,,36.9,46.24,35.44,48.5,,78.48,80.88,79.41,79.68,,21.52,19.12,20.59,20.32,,0.89,0.2,0.66,0.75,98,8.7
81,31,8967.0,1.12,0.3,5.4,5.3,28.14,51.8,79.94,20.06,2.31,520,,2402.0,3537.0,2649.0,379.0,,-0.13,1.57,1.91,-0.55,,-0.4,0.5,1.0,-0.7,,2.28,6.96,5.08,2.06,,2.9,6.4,7.1,1.82,,36.39,25.61,22.08,41.69,,54.16,50.52,50.77,55.94,,90.55,76.14,72.86,97.63,,9.45,23.86,27.14,2.37,,0.0,4.58,1.7,0.0,36,6.47
82,125,9838.0,0.49,-0.5,5.38,6.3,41.3,38.69,79.99,20.01,2.14,467,,4660.0,168.0,4625.0,385.0,,-0.4,-2.45,1.52,0.1,,-0.7,-2.0,-0.1,-0.1,,4.11,2.32,6.43,3.35,,4.3,-0.17,9.4,3.6,,44.74,66.67,37.47,34.55,,40.62,33.33,35.81,52.21,,85.36,100.0,73.28,86.75,,14.64,0.0,26.72,13.25,,0.52,0.0,3.94,1.3,49,9.5
83,192,4219.0,0.22,0.2,4.9,4.9,35.58,44.42,80.0,20.0,1.4,165,,1571.0,,2138.0,510.0,,-0.2,,0.32,1.08,,-0.3,,0.6,0.3,,3.81,,5.15,6.43,,3.8,,5.4,9.23,,41.06,,32.32,32.35,,44.75,,44.11,44.71,,85.81,,76.43,77.06,,14.19,,23.57,22.94,,0.76,,1.45,3.14,27,14.06
84,4,185146.0,0.23,-0.4,5.63,6.0,40.79,39.5,80.29,19.71,2.09,3090,13100.0,37796.0,54827.0,43547.0,35876.0,2.82,-0.15,-0.03,0.23,0.1,0.1,-0.5,-0.5,-0.3,-0.2,9.94,4.4,4.97,5.68,5.21,15.4,4.9,6.0,6.5,5.4,33.76,42.17,43.25,41.08,37.81,41.1,41.92,37.18,36.43,43.61,74.86,84.09,80.43,77.51,81.43,25.14,15.91,19.57,22.49,18.57,10.26,0.9,1.25,2.03,1.69,615,16.6
85,92,57850.0,0.49,-0.3,4.44,5.9,37.66,42.69,80.35,19.65,1.04,2006,2242.0,13254.0,16529.0,16952.0,8873.0,-0.31,0.45,0.59,1.17,-0.71,-0.6,-0.3,-0.2,-0.1,-0.9,3.42,3.83,4.06,5.32,4.04,2.2,5.4,5.6,8.5,3.3,36.71,36.6,33.76,37.79,46.49,57.05,44.48,46.8,35.53,42.39,93.76,81.08,80.57,73.32,88.88,6.24,18.92,19.43,26.68,11.12,1.38,0.32,0.83,2.04,0.5,152,7.04
86,119,51010.0,1.08,0.1,6.2,5.6,31.05,49.36,80.42,19.58,3.16,2249,3656.0,11570.0,13678.0,10778.0,11328.0,8.93,0.57,0.75,1.08,-0.56,0.95,0.1,0.1,0.6,-0.3,14.75,3.85,4.74,4.36,4.44,36.5,5.1,5.1,5.3,3.7,22.46,30.94,31.47,25.39,38.82,39.5,50.1,49.82,51.68,49.04,61.95,81.05,81.3,77.06,87.86,38.05,18.95,18.7,22.94,12.14,29.87,0.54,1.93,1.24,0.52,269,10.68
87,12,119327.0,0.77,-0.4,5.3,6.3,40.22,40.36,80.58,19.42,2.0,3337,7312.0,27777.0,33129.0,29339.0,21770.0,5.22,0.63,0.62,0.64,-0.12,0.2,-0.4,-0.4,-0.3,-0.9,12.64,4.02,4.13,4.69,4.06,24.88,6.0,6.3,6.6,4.3,29.09,39.16,39.96,39.81,46.26,44.57,40.49,39.79,39.7,40.55,73.66,79.65,79.75,79.51,86.81,26.34,20.35,20.25,20.49,13.19,18.42,0.69,0.74,1.29,1.05,465,12.23
88,108,12647.0,1.04,0.1,3.95,5.8,26.22,54.9,81.12,18.88,0.89,666,239.0,3900.0,977.0,5431.0,2100.0,0.12,0.49,1.46,1.26,1.42,-0.1,-0.1,0.5,0.3,0.1,2.29,3.09,3.69,4.36,4.36,3.0,4.7,6.7,6.6,6.9,27.2,31.38,21.19,24.29,23.86,63.18,52.46,57.22,55.64,55.48,90.38,83.85,78.4,79.93,79.33,9.62,16.15,21.6,20.07,20.67,0.0,0.08,0.61,1.45,1.19,67,9.14
89,79,225259.0,0.49,-0.3,5.46,5.6,39.67,41.46,81.13,18.87,1.79,5432,16018.0,44014.0,62894.0,56809.0,45524.0,4.28,0.23,0.01,0.24,0.38,0.1,-0.3,-0.5,-0.4,-0.3,11.78,3.75,4.07,4.41,5.69,24.4,4.6,5.0,5.6,6.0,32.26,37.66,42.55,40.68,38.98,40.45,46.3,39.96,39.83,41.26,72.71,83.96,82.5,80.51,80.24,27.29,16.04,17.5,19.49,19.76,14.49,0.36,0.58,0.68,1.74,995,15.48
90,76,100696.0,0.34,-0.4,4.5,5.7,39.7,41.44,81.15,18.85,1.13,2476,3978.0,26333.0,26585.0,29729.0,14071.0,-0.5,-0.0,0.37,0.99,-0.22,-1.0,-0.4,-0.3,0.0,-0.8,4.87,3.55,4.5,5.1,4.45,1.2,4.3,5.8,7.5,4.4,48.37,39.52,39.35,36.35,45.35,46.76,45.19,40.95,38.01,41.11,95.12,84.71,80.3,74.36,86.45,4.88,15.29,19.7,25.64,13.55,2.82,0.19,0.95,1.92,1.08,145,5.53
91,44,39006.0,0.36,0.2,4.3,4.8,31.85,49.48,81.33,18.67,0.66,1580,1461.0,8865.0,12383.0,11256.0,5041.0,-0.49,-0.56,0.66,1.06,-0.07,-0.6,-0.4,0.7,0.6,-0.4,3.15,3.59,4.26,4.73,4.48,2.9,3.1,5.2,6.3,4.1,38.95,39.42,26.38,27.72,39.12,52.09,50.12,50.87,48.14,47.17,91.03,89.54,77.25,75.86,86.29,8.97,10.46,22.75,24.14,13.71,0.0,0.07,0.29,1.19,1.65,273,14.73
