,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
11,X49,48145.0,1.69,0.9,5.34,8.6,28.91,38.48,67.39,32.61,1.49,762,433.0,23499.0,1590.0,22564.0,59.0,-1.34,2.32,3.07,0.97,11.65,-1.4,1.3,0.8,0.5,11.2,2.15,5.3,6.86,5.16,4.13,1.6,9.2,13.1,7.5,15.4,56.12,23.51,24.59,34.4,0.0,41.8,40.68,38.43,36.22,0.0,97.92,64.19,63.02,70.62,0.0,2.08,35.81,36.98,29.38,100.0,0.0,1.63,5.79,1.04,15.25,121,13.7
12,22,151399.0,1.78,0.9,6.17,8.4,29.66,38.11,67.77,32.23,2.71,2731,11975.0,30622.0,41732.0,39372.0,27698.0,5.06,1.39,1.19,1.14,2.59,0.9,0.7,0.6,0.6,1.9,11.79,4.98,4.9,5.42,6.01,23.56,7.6,7.3,7.8,9.8,27.57,29.62,31.72,33.31,22.34,37.13,41.47,38.4,36.33,36.89,64.7,71.09,70.12,69.63,59.24,35.3,28.91,29.88,30.37,40.76,15.61,1.78,0.85,1.09,3.23,780,22.22
13,N5,4056.0,6.29,0.8,12.32,29.0,23.59,44.18,67.78,32.22,20.61,119,3969.0,2.0,,,85.0,6.45,0.25,,,-0.79,0.9,0.25,,,-1.0,12.4,0.07,,,1.72,29.1,0.29,,,1.1,23.13,0.0,,,45.88,44.02,100.0,,,50.59,67.15,100.0,,,96.47,32.85,0.0,,,3.53,21.06,0.0,,,0.0,216,64.48
14,30,52363.0,2.01,1.1,5.28,8.7,23.93,43.89,67.82,32.18,2.47,1452,2333.0,12802.0,15968.0,13475.0,7785.0,0.61,0.99,1.19,3.49,3.25,0.2,0.3,0.8,2.2,2.3,3.91,4.49,4.73,6.18,5.39,5.4,6.6,6.7,11.8,10.4,26.06,30.62,26.58,17.74,17.6,58.25,45.84,47.05,39.09,38.19,84.31,76.46,73.63,56.83,55.79,15.69,23.54,26.37,43.17,44.21,0.69,0.9,1.16,5.89,2.35,221,13.21
15,86,31654.0,1.97,1.2,4.89,7.6,22.38,45.93,68.32,31.68,2.03,1044,486.0,8684.0,9131.0,9892.0,3461.0,-0.35,2.14,1.22,2.6,2.07,-0.3,1.5,0.6,1.9,0.7,1.82,4.45,4.52,5.05,6.19,2.0,7.6,6.1,8.6,7.8,31.07,19.5,27.71,18.07,26.7,65.84,47.04,47.67,42.61,45.28,96.91,66.54,75.38,60.68,71.97,3.09,33.46,24.62,39.32,28.03,0.0,1.8,1.71,2.06,3.67,42,3.87
16,103,36160.0,2.23,1.3,4.73,7.9,17.32,51.32,68.64,31.36,2.16,1665,1655.0,8947.0,9913.0,9279.0,6366.0,0.56,0.94,2.66,2.64,3.22,0.6,0.6,1.5,1.7,1.8,3.08,3.36,5.47,4.59,5.19,3.6,4.9,8.6,9.1,9.8,16.98,22.04,18.3,16.14,10.98,70.57,58.62,46.91,46.37,50.11,87.55,80.66,65.21,62.52,61.09,12.45,19.34,34.79,37.48,38.91,0.06,0.5,2.96,1.67,4.49,198,10.63
17,148,11857.0,1.74,1.0,5.3,7.9,25.88,43.76,69.64,30.36,2.66,421,2.0,6800.0,25.0,4950.0,80.0,-1.5,2.35,-0.28,1.02,-4.38,-1.5,1.6,-1.2,0.3,-4.65,0.71,4.67,2.35,5.96,2.69,-1.1,8.2,2.52,7.3,-0.69,50.0,19.49,56.0,33.54,85.0,50.0,44.87,36.0,42.75,15.0,100.0,64.35,92.0,76.28,100.0,0.0,35.65,8.0,23.72,0.0,0.0,1.54,0.0,4.24,0.0,32,7.06
18,62H,15550.0,2.78,1.1,6.19,9.2,16.12,53.9,70.02,29.98,5.22,825,963.0,4464.0,4312.0,4580.0,1231.0,0.46,1.79,3.03,4.14,2.26,0.3,0.6,1.2,2.5,1.0,1.99,4.81,7.7,6.3,5.2,3.2,6.2,9.6,12.9,5.9,17.24,19.53,15.7,13.58,13.73,71.96,59.16,53.97,41.75,65.72,89.2,78.7,69.67,55.33,79.45,10.8,21.3,30.33,44.67,20.55,0.0,2.67,6.66,7.38,5.52,61,6.88
19,36,124950.0,1.39,0.4,6.03,8.2,33.88,36.59,70.47,29.53,2.44,2176,5692.0,23231.0,37379.0,34900.0,23748.0,6.18,1.2,1.04,1.06,1.46,0.7,0.3,0.2,0.4,0.6,13.04,5.16,5.35,5.32,5.64,29.0,7.6,7.8,7.8,8.7,26.76,32.91,35.98,34.91,31.7,39.7,39.23,35.71,35.0,36.98,66.46,72.14,71.69,69.91,68.69,33.54,27.86,28.31,30.09,31.31,20.36,1.52,1.84,1.29,1.65,355,14.03
20,172,18388.0,1.7,0.9,5.75,8.0,25.11,45.85,70.95,29.05,3.31,1390,,6158.0,7112.0,4814.0,304.0,,2.89,0.03,2.63,1.79,,1.7,0.2,1.4,1.2,,6.5,4.19,6.24,2.74,,10.8,4.2,10.87,6.0,,22.77,31.14,19.82,15.13,,37.87,52.87,45.22,52.96,,60.64,84.01,65.04,68.09,,39.36,15.99,34.96,31.91,,5.2,0.46,5.3,0.0,225,13.93
